Địa chỉ,Phường/Xã/Thị trấn,Quận/Huyện,Diện tích (m²),Mức giá (tỷ),Giá tiền (triệu/m²),Mặt tiền(m),Đường vào(m),Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
"Đại Thành, Quốc Oai, Hà Nội",Đại Thành,Quốc Oai,45,3.2,71.11,,4,Đông - Bắc,,4,4,3,Đã có sổ đỏ,Đầy đủ.
"Đường Ngô Xuân Quảng, Xã Cổ Bi, Gia Lâm, Hà Nội",Xã Cổ Bi,Gia Lâm,74,19.9,268.92,3.5,,,,6,4,4,Đã có sổ đỏ,Đầy đủ.
"Phường Yên Phụ, Tây Hồ, Hà Nội",Phường Yên Phụ,Tây Hồ,33,6.5,196.97,,,,,5,4,5,Đã có sổ đỏ,
"Đường Bờ Hội, Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,50,12.5,250,,,,,5,6,4,Chưa sổ,Full nội thất.
"Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội",Phường Phương Mai,Đống Đa,44,8.9,202.27,3,,,,6,3,3,Đã có sổ đỏ,Đầy đủ
"Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội",Phường Phương Mai,Đống Đa,44,8.9,202.27,3,,,,6,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Giáp Nhất, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,37,11.2,300.27,3.1,6,,,7,5,6,Đã có sổ đỏ,Đầy đủ
"Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,35,,,,,,,,,,Chưa sổ,
"Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,75,25,333.33,5.2,7,,,5,6,5,Đã có sổ đỏ,
"Đường Minh Khai, Phường Mai Động, Hoàng Mai, Hà Nội",Phường Mai Động,Hoàng Mai,63,13.5,214.29,8,,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Phố Vũ Tông Phan, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,42,6.15,146.43,4.5,3,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",Phường Yên Nghĩa,Hà Đông,30,5.1,170,4.76,,,,5,,,Đã có sổ đỏ,
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,80,28.8,360,,,,,3,,,Đã có sổ đỏ,
"Ngõ 117 Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Phường Xuân Đỉnh,Bắc Từ Liêm,69,16.5,239.13,10,4,Nam,,4,6,4,Đã có sổ đỏ,Đầy đủ
"Đường Văn La, Phường Phú La, Hà Đông, Hà Nội",Phường Phú La,Hà Đông,36,5.8,161.11,5.54,,,,4,,,Đã có sổ đỏ,
"Đường Thạch Bàn, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,35,4.7,134.29,,,,,,,,Đã có sổ đỏ,
"Phố Đại Đồng, Phường Thanh Trì, Hoàng Mai, Hà Nội",Phường Thanh Trì,Hoàng Mai,50,5.46,109.2,3.3,3,,,3,2,,Đã có sổ đỏ,Đầy đủ.
"Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,Hai Bà Trưng,25,4.55,182,,,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Minh Khai, Phường Mai Động, Hoàng Mai, Hà Nội",Phường Mai Động,Hoàng Mai,25,3.85,154,3.7,,,,,3,3,Đã có sổ đỏ,Đầy đủ.
"Đường Ngô Thì Nhậm, Phường Quang Trung, Hà Đông, Hà Nội",Phường Quang Trung,Hà Đông,53,9.95,187.74,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Phường Mỗ Lao, Hà Đông, Hà Nội",Phường Mỗ Lao,Hà Đông,65,12.9,198.46,,,,,,,,Đã có sổ đỏ,
"Đường Nguyễn Phong Sắc, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,85,22,258.82,6,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,65,20,307.69,,15,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội",Phường Phương Canh,Nam Từ Liêm,17,23.5,138.24,7,12,,,4,,,Đã có sổ đỏ,Đầy đủ
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,85,27,317.65,7,10,,,7,,,Đã có sổ đỏ,Đầy đủ
"Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội",Phường Phương Canh,Nam Từ Liêm,17,23.5,138.24,7,12,,,4,,,Đã có sổ đỏ,Đầy đủ
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,85,27,317.65,7,10,,,7,,,Đã có sổ đỏ,Đầy đủ
"Phố Nghĩa Đô, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,85,36,423.53,7,12,,,7,8,7,Đã có sổ đỏ,Đầy đủ
"Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,12,30.5,254.17,7,12,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Phường Xuân Đỉnh,Bắc Từ Liêm,16,35,218.75,8,5,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Trần Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",Phường Thanh Lương,Hai Bà Trưng,32,,,4,2.5,,,1,2,1,Đã có sổ đỏ,Đầy đủ
"Đường Đặng Văn Ngữ, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,90,22,244.44,6,6,,,4,,,Đã có sổ đỏ,
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,11,45.5,395.65,9,7,,,6,,,Đã có sổ đỏ,Đầy đủ
"Phố Nghĩa Đô, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,10,36.2,362,8,6,,,4,,,Đã có sổ đỏ,
"Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,91,9,98.9,,,,,,,,Đã có sổ đỏ,
"Phường Mỗ Lao, Hà Đông, Hà Nội",Phường Mỗ Lao,Hà Đông,55,10.2,185.46,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Phường Mỗ Lao, Hà Đông, Hà Nội",Phường Mỗ Lao,Hà Đông,55,10.2,185.46,,,,,,,,Đã có sổ đỏ,
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",Phường Đống Mác,Hai Bà Trưng,30,6,200,5,,,,4,4,4,Đã có sổ đỏ,
"Đường Tô Hiệu, Phường Nguyễn Trãi, Hà Đông, Hà Nội",Phường Nguyễn Trãi,Hà Đông,49,11.5,234.69,,8,,,,,,Đã có sổ đỏ,Đầy đủ
"Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,65,9.5,146.15,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Phố Bà Triệu, Phường Hà Cầu, Hà Đông, Hà Nội",Phường Hà Cầu,Hà Đông,85,10.55,124.12,,,,,,9,,Đã có sổ đỏ,
"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,44,8.59,195.23,,,,,4,4,3,Đã có sổ đỏ,
"Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,50,10.8,216,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Xa La, Phường Phúc La, Hà Đông, Hà Nội",Phường Phúc La,Hà Đông,60,8.3,138.33,,,,,,,,Đã có sổ đỏ,
"Đường Nguyễn Lương Bằng, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,47,13.45,286.17,,4,,,8,,,Đã có sổ đỏ,
"Đường Xa La, Phường Phúc La, Hà Đông, Hà Nội",Phường Phúc La,Hà Đông,60,8.3,138.33,,,,,,,,Đã có sổ đỏ,
"Đường Nguyễn Lương Bằng, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,47,13.45,286.17,,4,,,8,,,Đã có sổ đỏ,
"Đường Quang Trung, Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,75,8.8,117.33,,,,,,,,Đã có sổ đỏ,
"đường Tứ Hiệp, Thị trấn Văn Điển, Thanh Trì, Hà Nội",Thị trấn Văn Điển,Thanh Trì,34,4.55,133.82,,,,,5,4,,Đã có sổ đỏ,Đầy đủ
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",Phường Đại Mỗ,Nam Từ Liêm,11,14.99,130.35,6,,,,4,,,Đã có sổ đỏ,
"Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,40,8.65,216.25,,,Đông,,5,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 2,Bắc Từ Liêm,51,7.3,143.14,,2.5,,,4,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Miêu Nha, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",Phường Tây Mỗ,Nam Từ Liêm,36,4.4,122.22,5.6,2.5,Đông - Nam,Đông - Nam,4,4,4,Đã có sổ đỏ,Đầy đủ
"Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Phường Thanh Xuân Trung,Thanh Xuân,50,18.95,379,,,,,8,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,45,15,333.33,,,,,5,6,4,Đã có sổ đỏ,Đầy đủ
"Đường Đê Tô Hoàng, Phường Cầu Dền, Hai Bà Trưng, Hà Nội",Phường Cầu Dền,Hai Bà Trưng,77,10.9,141.56,,,,,5,,,Đã có sổ đỏ,
"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,43,8.6,200,,,,,5,5,4,Đã có sổ đỏ,Đầy đủ
"Ngõ 1, Đường Nguyễn Thị Định, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,50,8,160,6,,,,4,5,4,Đã có sổ đỏ,Nội thất đầy đủ
"Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,43,8.65,201.16,3.5,2.5,Tây - Bắc,,4,5,3,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Văn Thái, Phường Thượng Đình, Thanh Xuân, Hà Nội",Phường Thượng Đình,Thanh Xuân,38,11.5,302.63,5,6,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Trung Phụng, Phường Trung Phụng, Đống Đa, Hà Nội",Phường Trung Phụng,Đống Đa,30,5,166.67,3,10,,,3,4,3,Đã có sổ đỏ,Cơ bản
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,80,16.8,210,12,,,,6,2,2,Đã có sổ đỏ,Đầy đủ
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,35,4.9,140,,,,,5,4,,Đã có sổ đỏ,Đầy đủ
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,45,11.3,251.11,4,,,,6,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,50,15,300,4,8,,,6,6,5,Đã có sổ đỏ,Đầy đủ
"Xã Tiền Yên, Hoài Đức, Hà Nội",Xã Tiền Yên,Hoài Đức,40,3.45,,,,,,,,,Chưa sổ,
"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,50,15.5,310,4.7,,,,6,5,,Đã có sổ đỏ,Đầy đủ
"Ngõ 169, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Phường Hoàng Văn Thụ,Hoàng Mai,40,7.9,197.5,3.5,3,,,6,3,6,Đã có sổ đỏ,Cơ bản.
"Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,42,11.2,266.67,,,,,5,,,Đã có sổ đỏ,Đầy đủ
"Thị trấn Đông Anh, Đông Anh, Hà Nội",Thị trấn Đông Anh,Đông Anh,56,8.6,153.57,,,,,4,5,4,Đã có sổ đỏ,
"Xã Hợp Đồng, Chương Mỹ, Hà Nội",Xã Hợp Đồng,Chương Mỹ,13,3.9,,6.9,345,Đông - Bắc,Đông - Bắc,3,4,3,Đã có sổ đỏ,Cơ bản
"Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội",Phường Giáp Bát,Hoàng Mai,48,9.7,202.08,,,,,4,5,,Đã có sổ đỏ,Đầy đủ.
"Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,60,14.5,241.67,3.8,,,,4,,,Đã có sổ đỏ,
"Đường Vương Thừa Vũ, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,50,10.5,210,,6,Bắc,Bắc,4,4,4,Đã có sổ đỏ,Đầy đủ
"Ngõ 169, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Phường Hoàng Văn Thụ,Hoàng Mai,65,8.8,135.38,5,7,,,3,3,4,Đã có sổ đỏ,
"Phố Hoàng Sâm, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,55,17.6,320,12,8,,,6,4,4,Đã có sổ đỏ,
"Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội",Phường Quảng An,Tây Hồ,40,12.9,322.5,5.2,,,,8,,,Đã có sổ đỏ,Đầy đủ
"Phố Lạc Trung, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",Phường Thanh Lương,Hai Bà Trưng,70,18.8,268.57,5.5,8,Nam,Nam,8,,,Đã có sổ đỏ,
"Ngõ 559, Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,Hai Bà Trưng,40,6.68,167,5,3,Bắc,Bắc,5,3,4,Đã có sổ đỏ,
"Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội",Phường Đại Kim,Hoàng Mai,16,26,154.76,10,8,,,4,5,5,Đã có sổ đỏ,Đầy đủ.
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",Phường Mai Dịch,Cầu Giấy,11,22,200,15,3,,,7,2,2,Đã có sổ đỏ,Đầy đủ
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,75,16.9,225.33,5.4,2.5,,,7,2,2,Đã có sổ đỏ,Đầy đủ
"Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội",Phường Thụy Khuê,Tây Hồ,95,25.8,271.58,7.2,,,,7,2,2,Đã có sổ đỏ,Đầy đủ
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,80,16.6,207.5,5,6,Đông - Bắc,Đông - Bắc,5,6,5,Đã có sổ đỏ,Cơ bản
"Ngõ 214, Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",Phường Hạ Đình,Thanh Xuân,50,27.5,550,5.5,,,,8,,,Chưa sổ,
"Ngõ 214, Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",Phường Hạ Đình,Thanh Xuân,50,27.5,550,5.5,,,,8,,,Chưa sổ,
"Đường Ngô Thì Sỹ, Phường Vạn Phúc, Hà Đông, Hà Nội",Phường Vạn Phúc,Hà Đông,41,9,219.51,3.9,,,,5,,,Đã có sổ đỏ,
"Xã Ngũ Hiệp, Thanh Trì, Hà Nội",Xã Ngũ Hiệp,Thanh Trì,50,5.95,119,4.2,5,,,5,4,4,Đã có sổ đỏ,
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,38,8.28,217.9,,,,,5,4,3,Đã có sổ đỏ,
"Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",Phường Đức Giang,Long Biên,72,,,,,,,2,2,1,Đã có sổ đỏ,Không nội thất
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,42,8.65,205.95,,,,,5,1,1,Đã có sổ đỏ,Đầy đủ
"Phường Phúc Lợi, Long Biên, Hà Nội",Phường Phúc Lợi,Long Biên,30,3.75,125,4.6,,Đông - Nam,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",Phường Đội Cấn,Ba Đình,70,11.5,164.29,6,,,,3,,,Đã có sổ đỏ,
"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội.",Phường Khương Đình,Thanh Xuân,45,6,133.33,4.3,3,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Triều Khúc, Xã Tân Triều, Thanh Trì, Hà Nội",Xã Tân Triều,Thanh Trì,47,12.5,265.96,,6,,,8,6,7,Đã có sổ đỏ,
"Ngõ 1008, Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",Phường Yên Nghĩa,Hà Đông,30,3.95,131.67,,2,Đông,Đông,4,3,3,Đã có sổ đỏ,Đầy đủ
"Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,Bắc Từ Liêm,55,9.8,178.18,4,,,,,1,1,Đã có sổ đỏ,Đầy đủ
"Phường Phương Mai, Đống Đa, Hà Nội",Phường Phương Mai,Đống Đa,34,6.9,202.94,,,,,5,3,5,Đã có sổ đỏ,Đầy đủ
"Đường Đại Cồ Việt, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",Phường Bách Khoa,Hai Bà Trưng,43,,,4.1,6,,,6,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Lãng Yên, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",Phường Thanh Lương,Hai Bà Trưng,30,7.4,246.67,,,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"L. Kỳ Thuỷ, Đường 21B, Xã Bích Hòa, Thanh Oai, Hà Nội",Xã Bích Hòa,Thanh Oai,40,3.35,83.75,3.2,3,Đông - Bắc,Đông - Bắc,3,3,3,Đã có sổ đỏ,Cơ bản
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,66,22,333.33,6.4,8,,,6,4,5,Đã có sổ đỏ,Đầy đủ
"Đường Đê La Thành, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,73,8.9,121.92,4,,,,4,,,Chưa sổ,
"Đường Thọ Lão, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",Phường Đồng Nhân,Hai Bà Trưng,38,10.58,278.42,3.5,,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Hà, Phường Đội Cấn, Ba Đình, Hà Nội",Phường Đội Cấn,Ba Đình,46,8.6,186.96,4,,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Hồ Đắc Di, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,42,8.2,195.24,,,,,5,6,4,Chưa sổ,
"Đường Khuất Duy Tiến, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Phường Thanh Xuân Trung,Thanh Xuân,71,38,535.21,7,,,,9,,,Đã có sổ đỏ,
"Phố Cảm Hội, Phường Đống Mác, Hai Bà Trưng, Hà Nội",Phường Đống Mác,Hai Bà Trưng,45,9.25,205.56,8,,,,4,3,3,Đã có sổ đỏ,Đầy đủ.
"Phường Khâm Thiên, Đống Đa, Hà Nội",Phường Khâm Thiên,Đống Đa,35,6.15,175.71,3.9,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",Phường Quang Trung,Hà Đông,75,8.8,117.33,4.2,,,,3,3,,Đã có sổ đỏ,
"Ngõ 206, Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,32,4.85,151.56,,,Nam,,5,3,4,Đã có sổ đỏ,Đầy đủ.
"Đường Xuân Phương, Phường Phương Canh, Nam Từ Liêm, Hà Nội.",Phường Phương Canh,Nam Từ Liêm,45,4.7,104.44,,,,,3,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,30,5.15,171.67,,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",Phường Phúc Lợi,Long Biên,31,4,129.03,,,Đông - Nam,,5,3,4,Đã có sổ đỏ,Đầy đủ.
"Phố Lương Định Của, Phường Ngã Tư Sở, Đống Đa, Hà Nội",Phường Ngã Tư Sở,Đống Đa,34,5.3,155.88,,,,,5,5,4,Đã có sổ đỏ,
"Ngõ 119, Đường Hồ Đắc Di, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,65,14.8,227.69,3.5,,,,3,,,Chưa sổ,
"Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,31,10,322.58,,,,,5,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Phường Thanh Xuân Trung,Thanh Xuân,10,,,,,,,,3,3,Đã có sổ đỏ,Đầy đủ
"Đường 70, Xã Vân Canh, Hoài Đức, Hà Nội",Xã Vân Canh,Hoài Đức,34,3.93,115.59,,,,,5,3,3,Đã có sổ đỏ,Cơ bản
"Phường Khâm Thiên, Đống Đa, Hà Nội",Phường Khâm Thiên,Đống Đa,35,6.15,175.71,3.9,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",Phường Hạ Đình,Thanh Xuân,20,55,275,6,6,Tây - Nam,Đông - Bắc,1,1,1,Đã có sổ đỏ,Đầy đủ
"đường Võng Thị, Phường Thụy Khuê, Tây Hồ, Hà Nội",Phường Thụy Khuê,Tây Hồ,36,8.3,230.56,3.6,,,,5,3,4,Đã có sổ đỏ,
"Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,70,23,328.57,5.2,,,,6,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Hồng Hà, Phường Chương Dương, Hoàn Kiếm, Hà Nội",Phường Chương Dương,Hoàn Kiếm,13,20,151.51,4.3,10,,,6,6,6,Đã có sổ đỏ,Đầy đủ
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,10,23.9,239,,,,,,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",Phường Hạ Đình,Thanh Xuân,20,55,275,6,6,Tây - Nam,Đông - Bắc,1,1,1,Đã có sổ đỏ,Đầy đủ
"đường Võng Thị, Phường Thụy Khuê, Tây Hồ, Hà Nội",Phường Thụy Khuê,Tây Hồ,36,8.3,230.56,3.6,,,,5,3,4,Đã có sổ đỏ,
"Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,70,23,328.57,5.2,,,,6,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Hồng Hà, Phường Chương Dương, Hoàn Kiếm, Hà Nội",Phường Chương Dương,Hoàn Kiếm,13,20,151.51,4.3,10,,,6,6,6,Đã có sổ đỏ,Đầy đủ
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,10,23.9,239,,,,,,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,80,18.5,231.25,7,3.5,,,5,4,,Đã có sổ đỏ,Đầy đủ.
"Phố Lạc Trung, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",Phường Thanh Nhàn,Hai Bà Trưng,70,20.8,297.14,4.5,7,,,4,4,,Đã có sổ đỏ,Đầy đủ
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,28,5,178.57,,,,,4,3,,Đã có sổ đỏ,
"Đường 21B, Xã Bích Hòa, Thanh Oai, Hà Nội",Xã Bích Hòa,Thanh Oai,33,3.15,95.46,,3,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Cổ Loa, Xã Cổ Loa, Huyện Đông Anh, Hà Nội",Xã Cổ Loa,Huyện Đông Anh,10,,,,6,,,,,,Đã có sổ đỏ,Đầy đủ
"Đường Nghi Tàm, Phường Tứ Liên, Tây Hồ, Hà Nội",Phường Tứ Liên,Tây Hồ,12,20,166.67,6,7,,,4,4,,Đã có sổ đỏ,Đầy đủ
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",Phường Phúc Lợi,Long Biên,35,5.5,157.14,4.05,2,,,6,4,4,Đã có sổ đỏ,Đầy đủ
"Ngõ 190, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",Phường Thượng Đình,Thanh Xuân,62,16.8,270.97,,4,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,62,10.5,169.36,4.5,3,,,5,8,,Chưa sổ,
